#,Company,Symbol,Weight,Price,Chg,% Chg,Unnamed: 7
1,Nvidia,NVDA,14.17%,196.32,-2.73,(-1.37%),
2,Apple Inc.,AAPL,11.78%,268.89,-0.54,(-0.20%),
3,Microsoft,MSFT,11.12%,504.56,-1.44,(-0.29%),
4,Amazon,AMZN,7.86%,247.81,-0.59,(-0.24%),
5,Alphabet Inc. (Class A),GOOGL,5.34%,288.65,-1.45,(-0.50%),
6,Broadcom Inc.,AVGO,5.00%,356.91,-1.48,(-0.41%),
7,Alphabet Inc. (Class C),GOOG,5.00%,289.17,-1.42,(-0.49%),
8,Meta Platforms,META,4.70%,629.35,-2.41,(-0.38%),
9,"Tesla, Inc.",TSLA,4.36%,441.56,-3.67,(-0.82%),
10,Netflix,NFLX,1.41%,1118.54,-1.53,(-0.14%),
11,Palantir Technologies,PLTR,1.36%,192.03,-1.58,(-0.82%),
12,Costco,COST,1.20%,915.67,0.11,(0.01%),
13,ASML Holding,ASML,1.19%,1036.66,-2.13,(-0.21%),
14,Advanced Micro Devices Inc.,AMD,1.17%,242.92,-1.06,(-0.43%),
15,Cisco,CSCO,0.84%,72.07,-0.02,(-0.03%),
16,Micron Technology,MU,0.83%,250.56,-2.74,(-1.08%),
17,AstraZeneca,AZN,0.81%,87.63,0.15,(0.17%),
18,T-Mobile US,TMUS,0.69%,206.58,0.7,(0.34%),
19,Applovin Corp,APP,0.65%,645.61,-5.71,(-0.88%),
20,Lam Research,LRCX,0.62%,165.75,-0.63,(-0.38%),
21,Shopify,SHOP,0.61%,157.42,-1.47,(-0.92%),
22,Intuitive Surgical,ISRG,0.61%,575.81,-0.4,(-0.07%),
23,Linde plc,LIN,0.59%,424.94,4.27,(1.01%),
24,PepsiCo,PEP,0.58%,142.99,0.37,(0.26%),
25,PDD Holdings,PDD,0.58%,137.49,-0.64,(-0.46%),
26,Applied Materials,AMAT,0.55%,233.6,-1.48,(-0.63%),
27,Qualcomm,QCOM,0.54%,170.64,-0.93,(-0.54%),
28,Intel,INTC,0.54%,38.17,-0.28,(-0.73%),
29,Intuit,INTU,0.54%,650.5,-2.77,(-0.42%),
30,Amgen,AMGN,0.52%,323.2,-0.46,(-0.14%),
31,Arm Holdings,ARM,0.48%,153.18,-1.66,(-1.07%),
32,Booking Holdings,BKNG,0.47%,4959.61,1.21,(0.02%),
33,KLA Corporation,KLAC,0.47%,1213.85,-4.1,(-0.34%),
34,Gilead Sciences,GILD,0.44%,118.19,0.04,(0.03%),
35,Texas Instruments,TXN,0.43%,160.52,-0.06,(-0.04%),
36,Palo Alto Networks,PANW,0.43%,214.98,-1.56,(-0.72%),
37,CrowdStrike,CRWD,0.41%,554.3,-3.23,(-0.58%),
38,Adobe Inc.,ADBE,0.41%,327.91,-0.95,(-0.29%),
39,Honeywell,HON,0.37%,196.04,-0.03,(-0.02%),
40,Analog Devices,ADI,0.34%,230.28,-1.72,(-0.74%),
41,Constellation Energy,CEG,0.33%,358.66,-2.28,(-0.63%),
42,Vertex Pharmaceuticals,VRTX,0.32%,421.49,0.29,(0.07%),
43,MercadoLibre,MELI,0.32%,2095.8,3.76,(0.18%),
44,ADP,ADP,0.30%,253.62,-0.44,(-0.17%),
45,Comcast,CMCSA,0.29%,27.22,0.1,(0.37%),
46,Starbucks,SBUX,0.28%,84.31,-0.29,(-0.35%),
47,Cadence Design Systems,CDNS,0.27%,328.94,0.0,(0.00%),
48,DoorDash,DASH,0.26%,203.1,-0.98,(-0.48%),
49,O'Reilly Automotive,ORLY,0.25%,98.25,0.15,(0.15%),
50,Marvell Technology,MRVL,0.24%,92.55,-0.68,(-0.73%),
51,Marriott International,MAR,0.23%,289.74,-0.73,(-0.25%),
52,Cintas,CTAS,0.22%,185.61,0.36,(0.19%),
53,Synopsys,SNPS,0.22%,399.2,-1.57,(-0.39%),
54,Airbnb,ABNB,0.22%,120.14,-0.06,(-0.05%),
55,Mondelez International,MDLZ,0.22%,56.25,-0.0,(-0.00%),
56,Datadog,DDOG,0.20%,197.5,-2.22,(-1.11%),
57,Regeneron Pharmaceuticals,REGN,0.20%,653.31,-1.43,(-0.22%),
58,Monster Beverage,MNST,0.20%,70.04,0.0,(0.01%),
59,MicroStrategy Inc.,MSTR,0.20%,236.35,-2.53,(-1.06%),
60,American Electric Power,AEP,0.20%,123.18,0.62,(0.51%),
61,CSX Corporation,CSX,0.19%,35.24,0.12,(0.34%),
62,Autodesk,ADSK,0.19%,299.05,0.33,(0.11%),
63,Fortinet,FTNT,0.19%,81.88,-0.41,(-0.49%),
64,PayPal,PYPL,0.18%,66.17,-0.08,(-0.12%),
65,"Workday, Inc.",WDAY,0.18%,226.92,-1.05,(-0.46%),
66,Thomson Reuters Corporation,TRI,0.18%,135.59,0.0,(0.00%),
67,Warner Bros. Discovery,WBD,0.17%,22.87,-0.11,(-0.48%),
68,Idexx Laboratories,IDXX,0.17%,709.59,0.0,(0.00%),
69,Ross Stores,ROST,0.16%,160.93,-0.99,(-0.61%),
70,Paccar,PCAR,0.15%,98.98,0.0,(0.00%),
71,Zscaler,ZS,0.15%,327.65,-1.25,(-0.38%),
72,NXP Semiconductors,NXPI,0.15%,205.13,0.0,(0.00%),
73,Electronic Arts,EA,0.15%,201.19,-0.21,(-0.10%),
74,Baker Hughes,BKR,0.14%,49.32,0.52,(1.07%),
75,Roper Technologies,ROP,0.14%,447.58,-2.24,(-0.50%),
76,Xcel Energy,XEL,0.14%,80.41,0.01,(0.01%),
77,Fastenal,FAST,0.14%,41.39,0.04,(0.10%),
78,Axon Enterprise Inc.,AXON,0.14%,585.13,0.43,(0.07%),
79,Exelon,EXC,0.14%,45.47,0.01,(0.01%),
80,Take-Two Interactive,TTWO,0.13%,235.53,1.47,(0.63%),
81,Atlassian,TEAM,0.12%,159.06,-0.07,(-0.04%),
82,Diamondback Energy,FANG,0.12%,144.78,0.05,(0.03%),
83,Coca-Cola Europacific Partners,CCEP,0.12%,91.95,0.69,(0.76%),
84,Copart,CPRT,0.12%,41.47,0.06,(0.14%),
85,Paychex,PAYX,0.12%,111.48,0.0,(0.00%),
86,Keurig Dr Pepper,KDP,0.11%,26.11,-0.02,(-0.06%),
87,Cognizant,CTSH,0.10%,72.48,-0.41,(-0.56%),
88,GE HealthCare,GEHC,0.10%,73.27,-0.21,(-0.29%),
89,Microchip Technology,MCHP,0.09%,55.43,0.02,(0.03%),
90,Verisk,VRSK,0.09%,212.94,0.0,(0.00%),
91,Kraft Heinz,KHC,0.09%,24.41,0.03,(0.10%),
92,Old Dominion Freight Line,ODFL,0.09%,137.93,0.17,(0.12%),
93,CoStar Group,CSGP,0.08%,67.23,0.0,(0.00%),
94,Charter Communications,CHTR,0.08%,210.1,-0.35,(-0.17%),
95,Biogen,BIIB,0.07%,155.51,-0.75,(-0.48%),
96,DexCom,DXCM,0.06%,55.05,0.2,(0.37%),
97,Trade Desk (The),TTD,0.06%,43.08,-0.18,(-0.42%),
98,Lululemon Athletica,LULU,0.06%,169.59,-0.76,(-0.45%),
99,Onsemi,ON,0.06%,48.63,0.09,(0.18%),
100,GlobalFoundries,GFS,0.06%,34.17,-0.45,(-1.30%),
101,CDW Corporation,CDW,0.06%,143.31,0.0,(0.00%),
