#,Company,Symbol,Weight,Price,Chg,% Chg
1,Nvidia,NVDA,7.78%,196.32,-2.73,(-1.37%)
2,Apple Inc.,AAPL,6.47%,268.89,-0.54,(-0.20%)
3,Microsoft,MSFT,6.10%,504.56,-1.44,(-0.29%)
4,Amazon,AMZN,4.31%,247.81,-0.59,(-0.24%)
5,Alphabet Inc. (Class A),GOOGL,2.93%,288.65,-1.45,(-0.50%)
6,Broadcom,AVGO,2.74%,356.91,-1.48,(-0.41%)
7,Alphabet Inc. (Class C),GOOG,2.74%,289.17,-1.42,(-0.49%)
8,Meta Platforms,META,2.58%,629.35,-2.41,(-0.38%)
9,"Tesla, Inc.",TSLA,2.39%,441.56,-3.67,(-0.82%)
10,Berkshire Hathaway,BRK.B,1.75%,498.25,1.27,(0.26%)
11,Lilly (Eli),LLY,1.41%,968.63,1.99,(0.21%)
12,JPMorgan Chase,JPM,1.40%,316.35,-0.54,(-0.17%)
13,Walmart,WMT,1.33%,102.43,0.01,(0.01%)
14,Oracle Corporation,ORCL,1.11%,238.18,-2.66,(-1.10%)
15,Visa Inc.,V,1.05%,335.04,0.19,(0.06%)
16,ExxonMobil,XOM,0.81%,118.44,0.22,(0.19%)
17,Mastercard,MA,0.81%,551.44,-1.52,(-0.27%)
18,Netflix,NFLX,0.77%,1118.54,-1.53,(-0.14%)
19,Palantir Technologies,PLTR,0.75%,192.03,-1.58,(-0.82%)
20,Johnson & Johnson,JNJ,0.74%,188.54,0.13,(0.07%)
21,Costco,COST,0.66%,915.67,0.11,(0.01%)
22,Advanced Micro Devices,AMD,0.64%,242.92,-1.06,(-0.43%)
23,Bank of America,BAC,0.64%,53.46,0.04,(0.07%)
24,AbbVie,ABBV,0.63%,219.35,0.64,(0.29%)
25,Home Depot (The),HD,0.60%,370.16,-0.27,(-0.07%)
26,Procter & Gamble,PG,0.56%,146.0,0.5,(0.34%)
27,GE Aerospace,GE,0.53%,311.38,-0.56,(-0.18%)
28,Chevron Corporation,CVX,0.51%,155.81,0.16,(0.10%)
29,Coca-Cola Company (The),KO,0.49%,70.61,0.09,(0.13%)
30,UnitedHealth Group,UNH,0.48%,322.18,0.6,(0.19%)
31,IBM,IBM,0.47%,308.65,-0.48,(-0.16%)
32,Cisco,CSCO,0.46%,72.07,-0.02,(-0.03%)
33,Micron Technology,MU,0.46%,250.56,-2.74,(-1.08%)
34,Wells Fargo,WFC,0.44%,86.05,-0.05,(-0.06%)
35,Caterpillar Inc.,CAT,0.43%,569.89,-0.97,(-0.17%)
36,Morgan Stanley,MS,0.43%,165.12,0.06,(0.04%)
37,American Express,AXP,0.41%,366.84,-1.05,(-0.28%)
38,Philip Morris International,PM,0.39%,155.3,0.22,(0.15%)
39,RTX Corporation,RTX,0.39%,179.28,0.25,(0.14%)
40,Goldman Sachs,GS,0.39%,797.42,0.22,(0.03%)
41,T-Mobile US,TMUS,0.38%,206.58,0.7,(0.34%)
42,Salesforce,CRM,0.37%,240.56,-1.15,(-0.48%)
43,Abbott Laboratories,ABT,0.36%,126.07,0.18,(0.15%)
44,AppLovin Corporation,APP,0.36%,645.61,-5.71,(-0.88%)
45,Thermo Fisher Scientific,TMO,0.35%,574.55,-1.81,(-0.31%)
46,Merck & Co.,MRK,0.35%,86.77,0.02,(0.02%)
47,McDonald's,MCD,0.35%,299.64,0.53,(0.18%)
48,Lam Research,LRCX,0.34%,165.75,-0.63,(-0.38%)
49,Intuitive Surgical,ISRG,0.33%,575.81,-0.4,(-0.07%)
50,Walt Disney Company (The),DIS,0.33%,112.36,0.12,(0.11%)
51,Linde plc,LIN,0.32%,424.94,4.27,(1.01%)
52,PepsiCo,PEP,0.32%,142.99,0.37,(0.26%)
53,Uber,UBER,0.32%,93.88,-0.22,(-0.23%)
54,Applied Materials,AMAT,0.30%,233.6,-1.48,(-0.63%)
55,Qualcomm,QCOM,0.30%,170.64,-0.93,(-0.54%)
56,Intel,INTC,0.30%,38.17,-0.28,(-0.73%)
57,Intuit,INTU,0.30%,650.5,-2.77,(-0.42%)
58,Citigroup,C,0.30%,101.35,-0.14,(-0.14%)
59,ServiceNow,NOW,0.29%,862.69,-3.62,(-0.42%)
60,NextEra Energy,NEE,0.29%,84.89,0.12,(0.14%)
61,AT&T,T,0.29%,24.87,0.04,(0.16%)
62,Amphenol,APH,0.29%,144.0,0.15,(0.10%)
63,Amgen,AMGN,0.28%,323.2,-0.46,(-0.14%)
64,Charles Schwab Corporation,SCHW,0.28%,95.38,-0.2,(-0.21%)
65,Arista Networks,ANET,0.28%,136.7,-0.56,(-0.41%)
66,Verizon,VZ,0.27%,39.93,0.08,(0.20%)
